resample,delta_fpr
578,-0.04655287076036356
579,-0.03933253873659118
580,-0.05268863833477884
581,-0.05318681318681319
582,-0.05179282868525896
583,-0.056315179606025494
584,-0.030512876000865614
585,-0.034677069787602946
586,-0.03422553751645459
587,-0.044662309368191724
588,-0.04032613486117232
589,-0.047151277013752456
590,-0.046747519294377066
591,-0.029820168449806513
592,-0.050995841540818564
593,-0.038284132841328415
594,-0.04499540863177227
595,-0.05947187141216992
596,-0.04379221989284882
597,-0.04223051796546897
598,-0.02475360990144396
599,-0.028458844133099827
600,-0.03993821712268314
601,-0.05167378117277017
602,-0.03677639046538025
603,-0.05618983657935975
604,-0.03677447939743022
605,-0.029186503829434902
606,-0.03389455028799292
607,-0.054573574900574455
608,-0.044876243349525786
609,-0.03515125692373242
610,-0.043020389872283224
611,-0.04199240562876927
612,-0.03202235117128734
613,-0.0374037403740374
614,-0.05379339905700814
615,-0.03536390600045631
616,-0.05463728191000918
617,-0.038791159224176815
618,-0.044027997290584785
619,-0.021622778848212374
620,-0.03611898016997167
621,-0.028916211293260476
622,-0.032165039929015087
623,-0.020473448496481125
624,-0.024622030237580993
625,-0.029354207436399216
626,-0.016763678696158323
627,-0.046294184720638544
628,-0.018644067796610167
629,-0.029397473275024292
630,-0.04932323927506309
631,-0.030095153795087412
632,-0.03827325322652426
633,-0.05128205128205128
634,-0.04209583519928348
635,-0.04116985376827897
636,-0.03765227021040975
637,-0.04630253989660598
638,-0.02729044834307992
639,-0.04112024894420982
640,-0.03920631125986134
641,-0.05005586592178771
642,-0.02067437853802609
643,-0.04374240583232077
644,-0.03784636179319667
645,-0.06201194304088195
646,-0.037053277789958344
647,-0.029008679762448607
648,-0.024215246636771298
649,-0.03337091319052987
650,-0.0517430388072791
651,-0.03634385201305767
652,-0.02630444156964209
653,-0.05378442854044676
654,-0.030376403257759192
655,-0.05333930972658001
656,-0.03419572553430821
657,-0.04385763490241102
658,-0.027524972253052164
659,-0.045604034203025653
660,-0.0503954802259887
661,-0.03694581280788178
662,-0.04514975413500223
663,-0.04338842975206612
664,-0.060994139353158235
665,-0.03982703686845698
666,-0.03802785761662614
667,-0.03748059436682191
668,-0.02111746590409151
669,-0.04789135096497498
670,-0.04382957884427033
671,-0.04630434782608695
672,-0.021333333333333336
673,-0.02126654064272212
674,-0.02607291185971389
675,-0.054450971531857205
676,-0.040721102863202546
677,-0.03274798291409587
678,-0.02599422350588758
679,-0.013345001093852548
680,-0.03561095036723793
681,-0.054492882562277585
682,-0.04676180021953896
683,-0.0165585142089953
684,-0.028755364806866954
685,-0.028852459016393443
686,-0.04077110569465987
687,-0.031118958287353782
688,-0.05057932263814617
689,-0.033296337402885685
690,-0.024472384373596768
691,-0.02018811654049094
692,-0.03337696335078534
693,-0.0515606936416185
694,-0.024491682070240293
695,-0.045608489501016036
696,-0.03716659379099257
697,-0.03474158267209951
698,-0.046731022378236065
699,-0.040940963582899795
700,-0.041907849039129426
701,-0.02763157894736842
702,-0.02275287226852895
703,-0.02748366749267853
704,-0.022072490706319704
705,-0.0470106075216972
706,-0.03522645578720345
707,-0.02223675604970569
708,-0.03806767586821015
709,-0.03992979376919702
710,-0.033499320959710276
711,-0.03751493428912783
712,-0.038861754087916756
713,-0.029602420051858255
714,-0.023885689912561313
715,-0.03826045627376426
716,-0.03711935985774617
717,-0.04077791718946048
718,-0.026575028636884306
719,-0.0343158820941487
720,-0.021855486173059768
721,-0.050241333918385256
722,-0.04573102050011264
723,-0.028486782133090246
724,-0.04198390254513813
725,-0.04509345794392523
726,-0.022284725227174382
727,-0.0280148829065441
728,-0.043281653746770024
729,-0.056528848399906566
730,-0.02838847385272145
731,-0.026477541371158392
732,-0.04393633714413809
733,-0.031089241780362337
734,-0.030057042562527427
735,-0.03822359699513919
736,-0.044721906923950054
737,-0.05647005029721079
738,-0.04518348623853211
739,-0.05008673026886383
740,-0.019408711351839317
741,-0.03645116918844567
742,-0.029885594209666126
743,-0.04365345869711216
744,-0.033607681755829906
745,-0.02005070292694169
746,-0.03738522081329252
747,-0.020326999558108707
748,-0.04582392776523702
749,-0.0525164113785558
750,-0.028374892519346516
751,-0.02651959633888758
752,-0.04835164835164835
753,-0.03096194753013472
754,-0.015751679406995598
755,-0.034833405452185204
756,-0.030977512620468106
757,-0.019056060270330157
758,-0.045619270944361544
759,-0.029308836395450566
760,-0.022410791993037422
761,-0.031188658669574702
762,-0.031127507493659213
763,-0.03821373028215952
764,-0.04520873891412503
765,-0.010568922869350123
766,-0.027981345769487007
767,-0.04843568945538818
768,-0.04141461144718474
769,-0.036936936936936934
770,-0.04323953328757721
771,-0.041295370571614864
772,-0.030055248618784534
773,-0.04842412857441035
774,-0.06515711645101664
775,-0.02780269058295964
776,-0.031436794332521584
777,-0.04551630434782609
778,-0.060230670653566847
779,-0.03586358635863587
780,-0.07246376811594202
781,-0.02578548212351029
782,-0.042805100182149364
783,-0.05181818181818182
784,-0.03951650395165039
785,-0.04215404987861399
786,-0.030595813204508857
787,-0.04355108877721943
788,-0.028731604765241767
789,-0.02651089642776904
790,-0.03771504190560212
791,-0.037185482075261636
792,-0.03369241347696539
793,-0.0435291364380997
794,-0.030932490404154436
795,-0.04222860933009064
796,-0.04396325459317585
797,-0.03395472703062583
798,-0.038632326820603906
799,-0.0323516287371709
800,-0.037277486910994764
801,-0.04363554148767805
802,-0.044459489957120284
803,-0.05461056401074306
804,-0.020946104965874325
805,-0.03330392589325099
806,-0.04728392346602155
807,-0.043037404236142406
808,-0.024847632442569153
809,-0.032861706983112735
810,-0.0423861852433281
811,-0.033651758575770734
812,-0.04074702886247878
813,-0.028972972972972973
814,-0.045766084457218664
815,-0.03934719427677174
816,-0.03283646575934327
817,-0.06146363033384921
818,-0.04524387552416685
819,-0.029430719656283567
820,-0.05699244678416114
821,-0.04386750223813787
822,-0.06027276726792785
823,-0.04410460992907801
824,-0.05993912432685554
825,-0.03951165371809101
826,-0.023830734966592427
827,-0.06551103106708689
828,-0.04763022055373064
829,-0.049573437860272074
830,-0.04377980060684872
831,-0.0313439244310863
832,-0.02991256327657616
833,-0.05605435573889833
834,-0.051931049530874976
835,-0.025293987131129354
836,-0.03818301514154049
837,-0.0441207967444849
838,-0.024140930839495433
839,-0.03715976331360947
840,-0.021650879566982407
841,-0.05912199426428414
842,-0.030989272943980926
843,-0.036359724612736656
844,-0.046781115879828326
845,-0.025829436651079937
846,-0.022800602280060228
847,-0.02605346624376982
848,-0.04362880886426593
849,-0.03485740153915799
850,-0.04683377308707124
851,-0.04384925337757763
852,-0.035474147924878276
853,-0.03402903811252268
854,-0.053116298993360456
855,-0.03262092238470191
856,-0.03165247762497272
857,-0.024175824175824173
858,-0.04219977553310887
859,-0.053630754627432366
860,-0.026187717265353416
861,-0.04199823165340407
862,-0.03251121076233184
863,-0.0280653324131585
864,-0.02855288773523686
865,-0.029398040130657953
866,-0.03201219512195122
867,-0.048600564113690604
868,-0.03935026309768932
869,-0.036898748078190206
870,-0.02579632122027815
871,-0.04666827038729853
872,-0.02959738846572361
873,-0.04031677465802736
874,-0.02554827040470269
875,-0.05787641427328112
876,-0.03735373537353735
877,-0.03565179352580928
878,-0.041480820695807316
879,-0.037192982456140354
880,-0.02353209961160612
881,-0.02634619828980818
882,-0.029827315541601254
883,-0.041267008699531565
884,-0.05140961857379768
885,-0.04630454140694568
886,-0.03470961887477314
887,-0.03258254974852394
888,-0.03255813953488372
889,-0.05513439007580978
890,-0.053631284916201116
891,-0.03357093584732122
892,-0.05109160477155075
893,-0.043095667870036096
894,-0.03299492385786802
895,-0.029106029106029104
896,-0.03925992779783394
897,-0.04
898,-0.021915951197469495
899,-0.050167973124300116
900,-0.037224669603524226
901,-0.05284738041002278
902,-0.04444945848375451
903,-0.03798033958891868
