resample,delta_f1
1011,-0.1583065463215401
1012,-0.11021941432596263
1013,-0.12683275013856044
1014,-0.0942618351256225
1015,-0.10241123580345507
1016,-0.207025624977905
1017,-0.052782681583020796
1018,-0.10700029609861952
1019,-0.10506914240018722
1020,-0.14552604049285706
1021,-0.14280105586532482
1022,-0.1230932737924594
1023,-0.09103833332953412
1024,-0.10844554436322834
1025,-0.14560843601695397
1026,-0.13758773263855015
1027,-0.0947517464680222
1028,-0.13673677191464828
1029,-0.09614530447253608
1030,-0.15196587395819358
1031,-0.08518726952508027
1032,-0.13286532527672723
1033,-0.11444983617436019
1034,-0.10714453039198443
1035,-0.07429009197877126
1036,-0.10939352276524333
1037,-0.1281334714636884
1038,-0.06582257300222025
1039,-0.17501537046129081
1040,-0.14430810290441698
1041,-0.14027761216325474
1042,-0.18183272258377914
1043,-0.08537188835780296
1044,-0.12064707509486666
1045,-0.1540362673186634
1046,-0.11969448990725587
1047,-0.07728789904329766
1048,-0.025877203218637623
1049,-0.06933691442361961
1050,-0.10816125860373646
1051,-0.07349354038134981
1052,-0.07215838786860418
1053,-0.10384872242514817
1054,-0.1847143112470626
1055,-0.08395162943226078
1056,-0.13329181906879928
1057,-0.18464507891259485
1058,-0.0666103766938792
1059,-0.09071338515892208
1060,-0.1510662960865155
1061,-0.1333615224033542
1062,-0.23065274945440237
1063,-0.10502394225833617
1064,-0.11934750916087675
1065,-0.1750708488928612
1066,-0.12673179569731294
1067,-0.07824797355431778
1068,-0.09733023152763934
1069,-0.10336591229812367
1070,-0.17454412921738324
1071,-0.09549478727983979
1072,-0.16910496160218974
1073,-0.15535255080099253
1074,-0.17228179660449525
1075,-0.15795737806887655
1076,-0.05980485264383312
1077,-0.06111577817579919
1078,-0.09116148743744365
1079,-0.12823497545005932
1080,-0.11973518235593689
1081,-0.1789287418046713
1082,-0.11409212028564589
1083,-0.06187108655616946
1084,-0.15636684348951485
1085,-0.1054869210718197
1086,-0.11893134440267958
1087,-0.09676113360323885
1088,-0.09145590221174904
1089,-0.15694149119541087
1090,-0.18169325937592742
1091,-0.11123492062019677
1092,-0.10994546297072391
1093,-0.1281649815306118
1094,-0.15885046245228113
1095,-0.12052228778207427
1096,-0.16904643473681133
1097,-0.11660663675327437
1098,-0.11300495494131779
1099,-0.2219064558760694
1100,-0.1386515325018805
1101,-0.1930981124726992
1102,-0.09044589618177884
1103,-0.06784584865412224
1104,-0.13392013994152843
1105,-0.1550593595093511
1106,-0.146423755434619
1107,-0.1245554714132153
1108,-0.1403135020076873
1109,-0.12579539489016897
1110,-0.13135812097273067
1111,-0.1204200233756812
1112,-0.15853979287283518
1113,-0.12084018805797048
1114,-0.10478830823043164
1115,-0.10963683851395073
1116,-0.1575707893920529
1117,-0.11308470107794077
1118,-0.13970772620352725
1119,-0.09992457799654933
1120,-0.022859407871169912
1121,-0.1797340495640561
1122,-0.1402141403554569
1123,-0.12178233193603477
1124,-0.13365189904271443
1125,-0.11970026153329014
1126,-0.1137896246318919
1127,-0.1872058062589612
1128,-0.032896067866452994
